editorid,formid,source_file,snapshot_date
llamaLooksSkinNaked,,3D00BA6D,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaGiftXmasHat,Christmas Hat,3D25F709,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaHeatherBag,Heather's Bag,3D245C47,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaGiftHazmatDamaged,Hazmat Suit; Beat to shit,3D1F014A,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaCGreenetechGlasses,Greenetech - Patrolman Sunglasses,3D1CB6B4,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaHeatherClothing,Heather's Clothing,3D18B2CC,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaHeatherKelloggClothing,Heather's Trophy Armor,3DBA858B,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaHeatherNecklace,Heather's Holotag,3DCB5736,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaGiftHolotagNecklace,Georgie's Holotag,3DBFDC33,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaHeatherWeddingRing,Heather's Wedding Ring,3DCACE6F,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaGiftWeddingRing,Ring,3DBA4137,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaMomsT60_Torso,T-60 Mom's Power Armor,3D62F126,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaCGreenetechCap,Greenetech - Military Cap,3D1CB6B3,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaGiftllamaPendant,Willow's Pendant,3D1107A0,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaBunkerCCClothing,Casdin Caravan Outfit,3DF60C5B,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaMomsT60_ArmRight,T-60 Right Arm,3D633578,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaSkinCat,Cat,3DF4B6B5,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaMomsT60_Helm,T-60 Helm,3D63357C,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaMomsT60_ArmLeft,Mom's Power Armor Left Arm,3D63357B,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaMomsT60_LegLeft,T-60 Left Leg,3D63357A,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
llamaMomsT60_LegRight,T-60 Right Leg,3D633579,,,,,llamaCompanionHeatherv2.esp,2026-05-22 23:14:11
