editorid,formid,source_file,snapshot_date
imp_Creat_DLC04_SkinDeathclawQuantumAlpha,,FE08DCDB,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC04_SkinDeathclawQuantumAlbino,,FE08DCD9,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC04_SkinDeathclawQuantumSavage,,FE08DCD7,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC04_SkinDeathclawQuantumMatriarch,,FE08DCD5,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinHermitCrabCrimson,Crimson Hermit Crab,FE08DCD1,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinHermitCrabPhantom,Phantom Hermit Crab,FE08DCCF,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinHermitCrabObsidian,Obsidian Hermit Crab,FE08DCCB,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_SkinYaoGuaiFerocious,,FE08DCB0,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_SkinYaoGuaiGhoulRavenous,,FE08DCAE,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_SkinYaoGuaiGhoulMenacing,,FE08DCAC,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_SkinYaoGuaiGhoulSavage,,FE08DCAA,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_SkinYaoGuaiVile,,FE08DCA8,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinFogCrawlerBlighted,,FE08DC7F,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinFogCrawlerShadowed,,FE08DC7D,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinFogCrawlerVeiled,,FE08DC7B,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinFogCrawlerStalking,,FE08DC79,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinGulperGnasher,,FE08DC70,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinGulperFire,,FE08DC6E,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_DLC03_SkinGulperRoughSkin,,FE08DC6C,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_SkinMirelurkQueenRad,,FE08DC39,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SMArmorBear_Arms_Playable,Super Mutant Bearskin Wrist Wraps,FE08DC2F,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SMArmorBear_Arms,Super Mutant Bearskin Wrist Wraps,FE08DC2E,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SMArmorBear_Lower_Playable,Super Mutant Bearskin Waistcloth,FE08DC2C,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SMArmorBear_Lower,Super Mutant Bearskin Waistcloth,FE08DC2B,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SMArmorBear_Torso_Playabla,Super Mutant Bearskin Chest Harness,FE08DC29,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SMArmorBear_Torso,Super Mutant Bearskin Chest Harness,FE08DC28,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SMArmorBear_Hat,Super Mutant Bearskin Helmet,FE08DC26,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SMArmorBear_Hat_Playable,Super Mutant Bearskin Helmet,FE08DC25,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_DLC03SkinSupermutantBehemothGrun,,FE08DBCE,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_SkinMirelurkQueenCorro,,FE08DBC3,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SkinSuperMutantBehemothEpic,,FE08DBBF,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SkinSuperMutantBehemothPrimal,,FE08DBBD,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SkinSuperMutantBehemothAncient,,FE08DBBB,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_SkinMirelurkQueenAbys,,FE08DBB7,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Creat_SkinMirelurkQueenPrim,,FE08DBB5,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_GreenHood,Green Hood with Beanie,FE08DAAC,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T60_Torso,T-60 Chest Piece,FE08DA95,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_SM_SupermutantArmor3_Torso_Playable,Super Mutant Shogun Body Armor,FE08DA84,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T51_Torso,T-51 Chest Piece,FE08DA76,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T51_LegRight,T-51 Right Leg,FE08DA75,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T51_LegLeft,T-51 Left Leg,FE08DA74,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T51_Helmet,T-51 Helm,FE08DA73,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T51_ArmRight,T-51 Right Arm,FE08DA72,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T51_ArmLeft,T-51 Left Arm,FE08DA71,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T45_Torso,T-45 Chest Piece,FE08DA6A,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T45_LegRight,T-45 Right Leg,FE08DA69,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T45_LegLeft,T-45 Left Leg,FE08DA68,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T45_Helm,T-45 Helm,FE08DA67,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T45_ArmRight,T-45 Right Arm,FE08DA66,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Power_T45_ArmLeft,T-45 Left Arm,FE08DA65,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Gasmask,Gunner Assault Gas Mask,FE08DA54,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Trig_ClothesUnderbossCoat,Black Coat,FE08D95B,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Combat_Torso,Combat Armor Chest Piece,FE08D8A2,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Combat_LegRight,Combat Armor Right Leg,FE08D8A1,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Combat_LegLeft,Combat Armor Left Leg,FE08D8A0,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
imp_Gnr_Armor_Combat_Helmet,Combat Armor Helmet,FE08D89F,,,,,ImprovedHostileFactions.esp,2026-05-22 23:14:11
