editorid,formid,source_file,snapshot_date
ccSBJFO4003_Ammo40mmFrag,40mm Frag Grenade,FE007F9E,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmTEST,40mm TEST,FE007024,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmRocket,40mm Rocket,FE007025,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmNuka,40mm Nuka,FE00701F,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmLaser,40mm Laser,FE007020,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmPulse,40mm Pulse,FE007026,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmMirv,40mm Mirv,FE007022,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmIncendiary,40mm Incendiary,FE0070C3,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_AmmoSawdisk,Saw Blade,FE007159,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmAcid,40mm Acid Grenade,FE0071CC,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_AmmoBaseballLauncher,Modified Baseball,FE00718F,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmPlasma,40mm Plasma,FE00701E,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmCryo,40mm Cryo,FE007021,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4004_AmmoNailgun,Nails,FE007205,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_AmmoFatManPiggyBankBomb,Piggy Bank Launcher Bomb,FE0070F6,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_Ammo40mmFlechette,40mm Flechette,FE007023,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
ccSBJFO4003_AmmoBaseballLauncherExplosive,Modified Baseball Grenade,FE007190,,ccSBJFO4003-Grenade.esl,2026-05-22 23:14:11
